
############################
training grid
############################

Type : grid Test [ Epoch 32/256 ] test_cost: 3.582599 sec max_auc: 0.99415 roc_auc : 0.978279.
Type : grid Train [ Epoch 33/256 iter 1 ] lr: 0.02561, loss: 0.06495, avg_reader_cost: 2.14977 sec, avg_batch_cost: 2.26291 sec, avg_samples: 96.0, avg_ips: 42.42321 images/sec.
Type : grid Train [ Epoch 33/256 iter 2 ] lr: 0.02561, loss: 0.01444, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11401 sec, avg_samples: 96.0, avg_ips: 842.05535 images/sec.
Type : grid Train [ Epoch 33/256 iter 3 ] lr: 0.02561, loss: 0.01665, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.10541 sec, avg_samples: 72.0, avg_ips: 683.03415 images/sec.
Type : grid Train [ Epoch 34/256 iter 1 ] lr: 0.02534, loss: 0.00396, avg_reader_cost: 2.19733 sec, avg_batch_cost: 2.31061 sec, avg_samples: 96.0, avg_ips: 41.54753 images/sec.
Type : grid Train [ Epoch 34/256 iter 2 ] lr: 0.02534, loss: 0.02104, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11239 sec, avg_samples: 96.0, avg_ips: 854.15190 images/sec.
Type : grid Train [ Epoch 34/256 iter 3 ] lr: 0.02534, loss: 0.04191, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.09377 sec, avg_samples: 72.0, avg_ips: 767.82426 images/sec.
Type : grid Train [ Epoch 35/256 iter 1 ] lr: 0.02507, loss: 0.01412, avg_reader_cost: 2.42218 sec, avg_batch_cost: 2.53647 sec, avg_samples: 96.0, avg_ips: 37.84795 images/sec.
Type : grid Train [ Epoch 35/256 iter 2 ] lr: 0.02507, loss: 0.00284, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11393 sec, avg_samples: 96.0, avg_ips: 842.59278 images/sec.
Type : grid Train [ Epoch 35/256 iter 3 ] lr: 0.02507, loss: 0.00280, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.09356 sec, avg_samples: 72.0, avg_ips: 769.55980 images/sec.
Type : grid Train [ Epoch 36/256 iter 1 ] lr: 0.02480, loss: 0.02400, avg_reader_cost: 2.36177 sec, avg_batch_cost: 2.47428 sec, avg_samples: 96.0, avg_ips: 38.79913 images/sec.
Type : grid Train [ Epoch 36/256 iter 2 ] lr: 0.02480, loss: 0.02714, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11263 sec, avg_samples: 96.0, avg_ips: 852.34021 images/sec.
Type : grid Train [ Epoch 36/256 iter 3 ] lr: 0.02480, loss: 0.00392, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.09292 sec, avg_samples: 72.0, avg_ips: 774.82576 images/sec.
Type : grid Train [ Epoch 37/256 iter 1 ] lr: 0.02452, loss: 0.00549, avg_reader_cost: 2.42127 sec, avg_batch_cost: 2.53551 sec, avg_samples: 96.0, avg_ips: 37.86218 images/sec.
Type : grid Train [ Epoch 37/256 iter 2 ] lr: 0.02452, loss: 0.01142, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.11121 sec, avg_samples: 96.0, avg_ips: 863.20683 images/sec.
Type : grid Train [ Epoch 37/256 iter 3 ] lr: 0.02452, loss: 0.02988, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.09355 sec, avg_samples: 72.0, avg_ips: 769.66768 images/sec.
Type : grid Train [ Epoch 38/256 iter 1 ] lr: 0.02423, loss: 0.06276, avg_reader_cost: 2.09472 sec, avg_batch_cost: 2.20833 sec, avg_samples: 96.0, avg_ips: 43.47177 images/sec.
Type : grid Train [ Epoch 38/256 iter 2 ] lr: 0.02423, loss: 0.00391, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11407 sec, avg_samples: 96.0, avg_ips: 841.61182 images/sec.
Type : grid Train [ Epoch 38/256 iter 3 ] lr: 0.02423, loss: 0.03306, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.09421 sec, avg_samples: 72.0, avg_ips: 764.25662 images/sec.
Type : grid Train [ Epoch 39/256 iter 1 ] lr: 0.02394, loss: 0.00920, avg_reader_cost: 2.02921 sec, avg_batch_cost: 2.14247 sec, avg_samples: 96.0, avg_ips: 44.80800 images/sec.
Type : grid Train [ Epoch 39/256 iter 2 ] lr: 0.02394, loss: 0.01225, avg_reader_cost: 0.05178 sec, avg_batch_cost: 0.16297 sec, avg_samples: 96.0, avg_ips: 589.06696 images/sec.
Type : grid Train [ Epoch 39/256 iter 3 ] lr: 0.02394, loss: 0.00757, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.09354 sec, avg_samples: 72.0, avg_ips: 769.74615 images/sec.
Type : grid Train [ Epoch 40/256 iter 1 ] lr: 0.02364, loss: 0.05913, avg_reader_cost: 1.98918 sec, avg_batch_cost: 2.10167 sec, avg_samples: 96.0, avg_ips: 45.67797 images/sec.
Type : grid Train [ Epoch 40/256 iter 2 ] lr: 0.02364, loss: 0.03007, avg_reader_cost: 0.04856 sec, avg_batch_cost: 0.16007 sec, avg_samples: 96.0, avg_ips: 599.72711 images/sec.
Type : grid Train [ Epoch 40/256 iter 3 ] lr: 0.02364, loss: 0.01050, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.09189 sec, avg_samples: 72.0, avg_ips: 783.51829 images/sec.
Type : grid Test [ Epoch 40/256 ] test_cost: 3.436744 sec max_auc: 0.99833 roc_auc : 0.998329.
Type : grid Train [ Epoch 41/256 iter 1 ] lr: 0.02333, loss: 0.02220, avg_reader_cost: 1.98868 sec, avg_batch_cost: 2.10288 sec, avg_samples: 96.0, avg_ips: 45.65177 images/sec.
Type : grid Train [ Epoch 41/256 iter 2 ] lr: 0.02333, loss: 0.03212, avg_reader_cost: 0.07806 sec, avg_batch_cost: 0.19089 sec, avg_samples: 96.0, avg_ips: 502.91038 images/sec.
Type : grid Train [ Epoch 41/256 iter 3 ] lr: 0.02333, loss: 0.02827, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.09333 sec, avg_samples: 72.0, avg_ips: 771.45493 images/sec.
Type : grid Train [ Epoch 42/256 iter 1 ] lr: 0.02302, loss: 0.03695, avg_reader_cost: 2.15860 sec, avg_batch_cost: 2.27212 sec, avg_samples: 96.0, avg_ips: 42.25123 images/sec.
Type : grid Train [ Epoch 42/256 iter 2 ] lr: 0.02302, loss: 0.00257, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11572 sec, avg_samples: 96.0, avg_ips: 829.58671 images/sec.
Type : grid Train [ Epoch 42/256 iter 3 ] lr: 0.02302, loss: 0.00253, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.09277 sec, avg_samples: 72.0, avg_ips: 776.13208 images/sec.
