
############################
training carpet
############################

Type : carpet Train [ Epoch 30/256 iter 3 ] lr: 0.02636, loss: 0.11070, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.10233 sec, avg_samples: 88.0, avg_ips: 859.95912 images/sec.
Type : carpet Train [ Epoch 31/256 iter 1 ] lr: 0.02611, loss: 0.08312, avg_reader_cost: 2.78065 sec, avg_batch_cost: 2.88696 sec, avg_samples: 96.0, avg_ips: 33.25302 images/sec.
Type : carpet Train [ Epoch 31/256 iter 2 ] lr: 0.02611, loss: 0.11985, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11276 sec, avg_samples: 96.0, avg_ips: 851.37603 images/sec.
Type : carpet Train [ Epoch 31/256 iter 3 ] lr: 0.02611, loss: 0.09215, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.10453 sec, avg_samples: 88.0, avg_ips: 841.90313 images/sec.
Type : carpet Train [ Epoch 32/256 iter 1 ] lr: 0.02586, loss: 0.09275, avg_reader_cost: 2.56528 sec, avg_batch_cost: 2.67830 sec, avg_samples: 96.0, avg_ips: 35.84368 images/sec.
Type : carpet Train [ Epoch 32/256 iter 2 ] lr: 0.02586, loss: 0.12084, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.11331 sec, avg_samples: 96.0, avg_ips: 847.21826 images/sec.
Type : carpet Train [ Epoch 32/256 iter 3 ] lr: 0.02586, loss: 0.03774, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.10531 sec, avg_samples: 88.0, avg_ips: 835.60574 images/sec.
Type : carpet Test [ Epoch 32/256 ] test_cost: 11.528648 sec max_auc: 0.75161 roc_auc : 0.673756.
Type : carpet Train [ Epoch 33/256 iter 1 ] lr: 0.02561, loss: 0.11536, avg_reader_cost: 3.12201 sec, avg_batch_cost: 3.24096 sec, avg_samples: 96.0, avg_ips: 29.62083 images/sec.
Type : carpet Train [ Epoch 33/256 iter 2 ] lr: 0.02561, loss: 0.10418, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.11613 sec, avg_samples: 96.0, avg_ips: 826.63182 images/sec.
Type : carpet Train [ Epoch 33/256 iter 3 ] lr: 0.02561, loss: 0.11585, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.10600 sec, avg_samples: 88.0, avg_ips: 830.19096 images/sec.
Type : carpet Train [ Epoch 34/256 iter 1 ] lr: 0.02534, loss: 0.06137, avg_reader_cost: 2.92463 sec, avg_batch_cost: 3.03797 sec, avg_samples: 96.0, avg_ips: 31.60000 images/sec.
Type : carpet Train [ Epoch 34/256 iter 2 ] lr: 0.02534, loss: 0.12420, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.11470 sec, avg_samples: 96.0, avg_ips: 836.97238 images/sec.
Type : carpet Train [ Epoch 34/256 iter 3 ] lr: 0.02534, loss: 0.10412, avg_reader_cost: 0.00033 sec, avg_batch_cost: 0.10631 sec, avg_samples: 88.0, avg_ips: 827.76499 images/sec.
Type : carpet Train [ Epoch 35/256 iter 1 ] lr: 0.02507, loss: 0.10338, avg_reader_cost: 2.59256 sec, avg_batch_cost: 2.70565 sec, avg_samples: 96.0, avg_ips: 35.48134 images/sec.
Type : carpet Train [ Epoch 35/256 iter 2 ] lr: 0.02507, loss: 0.15086, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.14646 sec, avg_samples: 96.0, avg_ips: 655.45922 images/sec.
Type : carpet Train [ Epoch 35/256 iter 3 ] lr: 0.02507, loss: 0.03428, avg_reader_cost: 0.00032 sec, avg_batch_cost: 0.10561 sec, avg_samples: 88.0, avg_ips: 833.22141 images/sec.
Type : carpet Train [ Epoch 36/256 iter 1 ] lr: 0.02480, loss: 0.07175, avg_reader_cost: 2.68641 sec, avg_batch_cost: 2.80081 sec, avg_samples: 96.0, avg_ips: 34.27575 images/sec.
Type : carpet Train [ Epoch 36/256 iter 2 ] lr: 0.02480, loss: 0.07319, avg_reader_cost: 0.00079 sec, avg_batch_cost: 0.11780 sec, avg_samples: 96.0, avg_ips: 814.92905 images/sec.
Type : carpet Train [ Epoch 36/256 iter 3 ] lr: 0.02480, loss: 0.05898, avg_reader_cost: 0.00044 sec, avg_batch_cost: 0.10766 sec, avg_samples: 88.0, avg_ips: 817.41662 images/sec.
Type : carpet Train [ Epoch 37/256 iter 1 ] lr: 0.02452, loss: 0.09042, avg_reader_cost: 2.55143 sec, avg_batch_cost: 2.66483 sec, avg_samples: 96.0, avg_ips: 36.02476 images/sec.
Type : carpet Train [ Epoch 37/256 iter 2 ] lr: 0.02452, loss: 0.10252, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11360 sec, avg_samples: 96.0, avg_ips: 845.04016 images/sec.
Type : carpet Train [ Epoch 37/256 iter 3 ] lr: 0.02452, loss: 0.09205, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.10498 sec, avg_samples: 88.0, avg_ips: 838.28353 images/sec.
Type : carpet Train [ Epoch 38/256 iter 1 ] lr: 0.02423, loss: 0.05638, avg_reader_cost: 2.60865 sec, avg_batch_cost: 2.72451 sec, avg_samples: 96.0, avg_ips: 35.23575 images/sec.
Type : carpet Train [ Epoch 38/256 iter 2 ] lr: 0.02423, loss: 0.11790, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.11622 sec, avg_samples: 96.0, avg_ips: 826.00947 images/sec.
Type : carpet Train [ Epoch 38/256 iter 3 ] lr: 0.02423, loss: 0.02926, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.10518 sec, avg_samples: 88.0, avg_ips: 836.68921 images/sec.
Type : carpet Train [ Epoch 39/256 iter 1 ] lr: 0.02394, loss: 0.05247, avg_reader_cost: 2.57682 sec, avg_batch_cost: 2.69541 sec, avg_samples: 96.0, avg_ips: 35.61612 images/sec.
Type : carpet Train [ Epoch 39/256 iter 2 ] lr: 0.02394, loss: 0.07329, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11203 sec, avg_samples: 96.0, avg_ips: 856.90581 images/sec.
Type : carpet Train [ Epoch 39/256 iter 3 ] lr: 0.02394, loss: 0.06992, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.10339 sec, avg_samples: 88.0, avg_ips: 851.15025 images/sec.
Type : carpet Train [ Epoch 40/256 iter 1 ] lr: 0.02364, loss: 0.06130, avg_reader_cost: 2.69831 sec, avg_batch_cost: 2.80998 sec, avg_samples: 96.0, avg_ips: 34.16399 images/sec.
Type : carpet Train [ Epoch 40/256 iter 2 ] lr: 0.02364, loss: 0.09480, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11261 sec, avg_samples: 96.0, avg_ips: 852.47554 images/sec.
Type : carpet Train [ Epoch 40/256 iter 3 ] lr: 0.02364, loss: 0.07779, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.10319 sec, avg_samples: 88.0, avg_ips: 852.80612 images/sec.
